,sub,onset,offset,cat,tier,group,latency,latency group,latency_milli
100,1,136.036,137.047,oh oh oh,Infant voc,TD,0.22900000000001342,cg-inf,229.00000000001342
101,1,137.072,139.203,non è una gallina questa qui veramente (RE),Caregiver voc,TD,0.025000000000005684,inf-cg,25.000000000005684
102,1,139.205,140.004,è un uccellino (RE),Caregiver voc,TD,0.0020000000000095497,cg-cg,2.0000000000095497
103,1,140.506,141.546,ecino ,Infant voc,TD,0.5020000000000095,cg-inf,502.00000000000955
104,1,141.56,141.686,mmm (C),Caregiver voc,TD,0.014000000000010004,inf-cg,14.000000000010004
105,1,141.687,142.61,come fa l’uccellino? (QE),Caregiver voc,TD,0.0010000000000047748,cg-cg,1.0000000000047748
106,1,142.686,143.887,cip cip cip (CWOP),Infant voc,TD,0.0759999999999934,cg-inf,75.9999999999934
107,1,143.891,144.811,cip cip cip (OP),Caregiver voc,TD,0.003999999999990678,inf-cg,3.9999999999906777
108,1,145.625,146.306,questo cos’è? (QE),Caregiver voc,TD,0.813999999999993,cg-cg,813.999999999993
109,1,146.675,147.905,xxx,Infant voc,TD,0.3689999999999998,cg-inf,368.9999999999998
110,1,147.841,149.008, e a chi telefoni tu? (QA),Caregiver voc,TD,-0.06399999999999295,inf-cg,-63.99999999999295
111,1,149.342,149.805,papà (CW),Infant voc,TD,0.3340000000000032,cg-inf,334.0000000000032
112,1,150.864,151.467,fammi sentire (DA),Caregiver voc,TD,1.0589999999999975,inf-cg,1058.9999999999975
113,1,151.467,152.507,cosa gli dici a papà?	(QA),Caregiver voc,TD,0.0,cg-cg,0.0
114,1,153.044,153.603,ciao papà (QA),Caregiver voc,TD,0.5370000000000061,cg-cg,537.0000000000061
115,1,153.606,155.07,sono venuto a prendere nonno Saverio. (SB),Caregiver voc,TD,0.002999999999985903,cg-cg,2.999999999985903
116,1,155.509,156.083,sì (CW),Infant voc,TD,0.43899999999999295,cg-inf,438.99999999999295
117,1,156.104,156.345,dai (AE),Caregiver voc,TD,0.021000000000015007,inf-cg,21.000000000015007
118,1,156.349,157.291,raccontami del papà (DA),Caregiver voc,TD,0.003999999999990678,cg-cg,3.9999999999906777
119,1,157.543,158.106,xxx,Infant voc,TD,0.25200000000000955,cg-inf,252.00000000000955
120,1,158.762,159.504,xxx,Infant voc,TD,0.6560000000000059,inf-inf,656.0000000000059
121,1,160.443,161.249,come stai papà? (CW),Infant voc,TD,0.9390000000000214,inf-inf,939.0000000000214
122,1,161.54,162.002,xxx,Infant voc,TD,0.2909999999999968,inf-inf,290.9999999999968
123,1,162.478,163.005,xxx,Infant voc,TD,0.4759999999999991,inf-inf,475.9999999999991
124,1,163.601,165.805,come stai papà?? (CW),Infant voc,TD,0.5960000000000036,inf-inf,596.0000000000036
125,1,166.952,167.907,come stai? (CW),Infant voc,TD,1.1469999999999914,inf-inf,1146.9999999999914
126,1,167.911,169.901,xxx,Infant voc,TD,0.003999999999990678,inf-inf,3.9999999999906777
127,1,169.977,170.563,come sta? (QE),Caregiver voc,TD,0.0759999999999934,inf-cg,75.9999999999934
128,1,171.038,171.524,bene (CW),Infant voc,TD,0.47500000000002274,cg-inf,475.00000000002274
129,1,171.642,172.228,sta bene? (QE),Caregiver voc,TD,0.117999999999995,inf-cg,117.999999999995
130,1,172.231,172.73,meglio? ( - ),Caregiver voc,TD,0.002999999999985903,cg-cg,2.999999999985903
131,1,173.41,174.606,xxx,Infant voc,TD,0.6800000000000068,cg-inf,680.0000000000068
132,1,174.811,175.746,papà papà (CW),Infant voc,TD,0.2050000000000125,inf-inf,205.0000000000125
133,1,175.686,177.169,ma come si mette giù il telefono (QA),Caregiver voc,TD,-0.060000000000002274,inf-cg,-60.000000000002274
134,1,177.17,177.649,così? (C),Caregiver voc,TD,0.0009999999999763531,cg-cg,0.9999999999763531
135,1,178.262,179.61,la mamma lo butta per terra? (QM),Caregiver voc,TD,0.6129999999999995,cg-cg,612.9999999999995
136,1,179.761,180.61,o lo mette via così? (QM),Caregiver voc,TD,0.15099999999998204,cg-cg,150.99999999998204
137,1,180.783,182.106,sennò dopo non suona più (RE),Caregiver voc,TD,0.1729999999999734,cg-cg,172.9999999999734
138,1,182.163,182.986,se sono messi male ( - ),Caregiver voc,TD,0.05700000000001637,cg-cg,57.00000000001637
139,1,182.987,184.294, te l’ho insegnato tante volte (RM),Caregiver voc,TD,0.0010000000000047748,cg-cg,1.0000000000047748
140,1,184.482,184.807,sì (CW),Infant voc,TD,0.18799999999998818,cg-inf,187.99999999998818
141,1,184.887,186.203,xxx non lo metti male xxx. (I RA I),Caregiver voc,TD,0.0800000000000125,inf-cg,80.0000000000125
142,1,187.381,188.689,xxx,Infant voc,TD,1.1779999999999973,cg-inf,1177.9999999999973
143,1,189.31,190.0,xxx ,Infant voc,TD,0.6210000000000093,inf-inf,621.0000000000093
144,1,189.504,190.005,allora (C),Caregiver voc,TD,-0.4960000000000093,inf-cg,-496.0000000000093
145,1,192.108,193.418,ci vuole prima quello verde (RE),Caregiver voc,TD,2.1030000000000086,cg-cg,2103.0000000000086
146,1,193.421,193.882,spetta (DA),Caregiver voc,TD,0.002999999999985903,cg-cg,2.999999999985903
147,1,194.264,194.807,girati così (DA),Caregiver voc,TD,0.382000000000005,cg-cg,382.000000000005
148,1,194.771,195.302,xxx,Infant voc,TD,-0.036000000000001364,cg-inf,-36.000000000001364
149,1,194.808,195.686,che li vedi tutti ( - ),Caregiver voc,TD,-0.4939999999999998,inf-cg,-493.9999999999998
150,1,195.739,196.202,xxx,Caregiver voc,TD,0.05299999999999727,cg-cg,52.99999999999727
151,1,196.586,197.005,xxx,Infant voc,TD,0.38400000000001455,cg-inf,384.00000000001455
152,1,197.219,199.221,allora ci vuole prima quello verde (C RE),Caregiver voc,TD,0.21399999999999864,inf-cg,213.99999999999864
153,1,199.224,199.804,da metter giù. ( - ),Caregiver voc,TD,0.002999999999985903,cg-cg,2.999999999985903
154,1,200.9,201.809,eh il verde (CW),Infant voc,TD,1.0960000000000036,cg-inf,1096.0000000000036
155,1,202.109,202.814,dov’è il verde? (QE),Caregiver voc,TD,0.30000000000001137,inf-cg,300.00000000001137
156,1,202.825,203.305,là (CW),Infant voc,TD,0.01099999999999568,cg-inf,10.99999999999568
157,1,203.307,203.599,xxx,Infant voc,TD,0.001999999999981128,inf-inf,1.999999999981128
158,1,205.435,205.807,qua (CW),Infant voc,TD,1.8360000000000127,inf-inf,1836.0000000000127
159,1,205.728,206.708,poi quello giallo (RE),Caregiver voc,TD,-0.07899999999997931,inf-cg,-78.99999999997931
160,1,206.73,207.406,verde (CW),Infant voc,TD,0.02199999999999136,cg-inf,21.99999999999136
161,1,208.041,208.844,quello giallo ( - ),Caregiver voc,TD,0.6349999999999909,inf-cg,634.9999999999909
162,1,212.202,212.907,giallo dov’è? (QE),Caregiver voc,TD,3.358000000000004,cg-cg,3358.000000000004
163,1,213.564,213.809,qua (CW),Infant voc,TD,0.6569999999999823,cg-inf,656.9999999999823
164,1,215.062,216.004,e adesso quello blu (RE),Caregiver voc,TD,1.2530000000000143,inf-cg,1253.0000000000143
165,1,217.94,219.008,blu ho detto io (RM),Caregiver voc,TD,1.936000000000007,cg-cg,1936.000000000007
166,1,219.764,220.808,è blu quello?	(QE),Caregiver voc,TD,0.7560000000000002,cg-cg,756.0000000000002
167,1,221.404,221.929,no (CW),Caregiver voc,TD,0.5960000000000036,cg-cg,596.0000000000036
168,1,222.188,222.907,dov’è quello blu? (QE),Caregiver voc,TD,0.25899999999998613,cg-cg,258.99999999998613
169,1,223.474,223.812,xxx,Infant voc,TD,0.5669999999999789,cg-inf,566.9999999999789
170,1,224.363,225.327,guarda bene in giro. (DA),Caregiver voc,TD,0.5509999999999877,inf-cg,550.9999999999877
171,1,225.33,225.955,dov’è quello blu? (QE),Caregiver voc,TD,0.0030000000000143245,cg-cg,3.0000000000143245
172,1,226.295,226.797,qua (CW),Infant voc,TD,0.339999999999975,cg-inf,339.999999999975
173,1,226.975,228.263,di qua blu (RE),Caregiver voc,TD,0.17799999999999727,inf-cg,177.99999999999727
174,1,229.063,229.765,questo è rosso (RE),Caregiver voc,TD,0.799999999999983,cg-cg,799.999999999983
175,1,229.766,230.404,il blu è qui.	(RE),Caregiver voc,TD,0.0010000000000047748,cg-cg,1.0000000000047748
176,1,235.005,236.045,xxx blu (CW),Infant voc,TD,4.600999999999999,cg-inf,4600.999999999999
177,1,236.26,237.002,è questo il blu,Caregiver voc,TD,0.2150000000000034,inf-cg,215.0000000000034
178,1,237.14,238.404,è anche l’altro pezzo (RE),Caregiver voc,TD,0.1379999999999768,cg-cg,137.9999999999768
179,1,239.478,240.606,si mette dentro quello blu.(RE),Caregiver voc,TD,1.0740000000000123,cg-cg,1074.0000000000123
180,1,241.599,243.543,e poi quello rosso piccolino (RE),Caregiver voc,TD,0.992999999999995,cg-cg,992.999999999995
181,1,243.923,244.4,ah,Infant voc,TD,0.37999999999999545,cg-inf,379.99999999999545
182,1,245.043,245.601,mmm (AN),Caregiver voc,TD,0.6430000000000007,inf-cg,643.0000000000007
183,1,246.676,249.28,adesso devi mettere sopra ancora quello rosso piccolino (DA),Caregiver voc,TD,1.0749999999999886,cg-cg,1074.9999999999886
184,1,249.282,249.908,girato così. ( - ),Caregiver voc,TD,0.0020000000000095497,cg-cg,2.0000000000095497
185,1,252.312,252.563,ah ,Infant voc,TD,2.404000000000025,cg-inf,2404.0000000000246
186,1,253.296,253.803,ok (C),Caregiver voc,TD,0.7330000000000041,inf-cg,733.0000000000041
187,1,255.522,256.368,poi quello blu (RE),Caregiver voc,TD,1.718999999999994,cg-cg,1718.999999999994
188,1,256.619,256.987,no,Infant voc,TD,0.2510000000000332,cg-inf,251.0000000000332
189,1,257.504,258.922,xxx,Infant voc,TD,0.5169999999999959,inf-inf,516.9999999999959
190,1,258.466,259.692,continua vedi la botte (DA),Caregiver voc,TD,-0.4560000000000173,inf-cg,-456.0000000000173
191,1,263.901,264.305,oh,Infant voc,TD,4.209000000000003,cg-inf,4209.000000000004
192,1,266.171,266.682,oh,Infant voc,TD,1.8659999999999854,inf-inf,1865.9999999999854
193,1,266.864,268.405,adesso metti dentro quello là (DA),Caregiver voc,TD,0.18199999999995953,inf-cg,181.99999999995953
194,1,269.482,270.381,poi chiudi quello blu. (DA),Caregiver voc,TD,1.077000000000055,cg-cg,1077.000000000055
195,1,270.417,271.328,col coperchietto ( - ),Caregiver voc,TD,0.036000000000001364,cg-cg,36.000000000001364
196,1,271.332,271.887,così (C),Caregiver voc,TD,0.004000000000019099,cg-cg,4.000000000019099
197,1,273.502,273.753,poi ,Caregiver voc,TD,1.615000000000009,cg-cg,1615.000000000009
198,1,273.757,274.608,adesso quello giallo (RE),Caregiver voc,TD,0.004000000000019099,cg-cg,4.000000000019099
199,1,278.202,278.884,poi verde (RE),Caregiver voc,TD,3.593999999999994,cg-cg,3593.999999999994
200,1,278.889,279.707,sì verde (C RE),Caregiver voc,TD,0.0049999999999954525,cg-cg,4.9999999999954525
201,1,283.701,284.303,giallo (CW),Infant voc,TD,3.994000000000028,cg-inf,3994.000000000028
202,1,284.517,285.005,e rosso (RE),Caregiver voc,TD,0.21399999999999864,inf-cg,213.99999999999864
203,1,288.28,288.865,ecco ,Caregiver voc,TD,3.2749999999999773,cg-cg,3274.9999999999773
204,1,290.719,291.312,aprama ,Infant voc,TD,1.853999999999985,cg-inf,1853.999999999985
205,1,292.116,292.767,apriamo?(W),Caregiver voc,TD,0.8039999999999736,inf-cg,803.9999999999736
206,1,292.932,293.266,sì ,Infant voc,TD,0.16500000000002046,cg-inf,165.00000000002046
207,1,293.855,294.112,tira (DA),Caregiver voc,TD,0.5889999999999986,inf-cg,588.9999999999986
208,1,295.294,295.728,no (CW),Infant voc,TD,1.1819999999999595,cg-inf,1181.9999999999595
209,1,295.857,296.803,no ce la fai?(QO),Caregiver voc,TD,0.1290000000000191,inf-cg,129.0000000000191
210,1,298.027,298.542,eh,Infant voc,TD,1.2239999999999895,cg-inf,1223.9999999999895
211,1,299.477,300.006,oh (CW),Caregiver voc,TD,0.9350000000000023,inf-cg,935.0000000000023
212,1,301.041,302.127,questo di che colore è? (QE),Caregiver voc,TD,1.035000000000025,cg-cg,1035.000000000025
213,1,303.041,303.542,bianco (CW),Infant voc,TD,0.9139999999999873,cg-inf,913.9999999999873
214,1,303.891,304.601,bianco (RE),Caregiver voc,TD,0.3490000000000464,inf-cg,349.0000000000464
215,1,305.517,306.367,questo? (QE),Caregiver voc,TD,0.9159999999999968,cg-cg,915.9999999999968
216,1,309.538,310.307,che colore è? ( - ),Caregiver voc,TD,3.1709999999999923,cg-cg,3170.9999999999923
217,1,310.307,310.883,verde (CW),Infant voc,TD,0.0,cg-inf,0.0
218,1,310.993,311.744,verde (RE),Caregiver voc,TD,0.11000000000001364,inf-cg,110.00000000001364
219,1,311.748,312.604,metti in fila (DA),Caregiver voc,TD,0.003999999999962256,cg-cg,3.999999999962256
220,1,313.646,314.389,questo? (QE),Caregiver voc,TD,1.04200000000003,cg-cg,1042.00000000003
221,1,314.595,315.199,che colore è?	( - ),Caregiver voc,TD,0.20600000000001728,cg-cg,206.00000000001728
222,1,315.973,316.66,giallo (CW),Infant voc,TD,0.7740000000000009,cg-inf,774.0000000000009
223,1,316.998,317.884,giallo (RE),Caregiver voc,TD,0.33799999999996544,inf-cg,337.99999999996544
224,1,319.171,320.531,questo di che colore è? (QE),Caregiver voc,TD,1.2869999999999777,cg-cg,1286.9999999999777
225,1,321.642,322.165,bu,Infant voc,TD,1.11099999999999,cg-inf,1110.99999999999
226,1,322.409,322.843,blu (RE),Caregiver voc,TD,0.24399999999997135,inf-cg,243.99999999997135
227,1,324.398,325.196,e questo? (QE),Caregiver voc,TD,1.5550000000000068,cg-cg,1555.0000000000068
228,1,325.725,326.649,rosso (CW),Infant voc,TD,0.5289999999999964,cg-inf,528.9999999999964
229,1,326.675,327.805,e qui non ce n’è più. (RE),Caregiver voc,TD,0.02600000000001046,inf-cg,26.00000000001046
230,1,329.165,330.467,è il più piccolo questo. (RE),Caregiver voc,TD,1.3600000000000136,cg-cg,1360.0000000000136
231,1,331.804,332.325,pu,Infant voc,TD,1.336999999999989,cg-inf,1336.999999999989
232,1,333.295,333.798,ah,Infant voc,TD,0.9700000000000273,inf-inf,970.0000000000273
233,1,335.882,337.882,xxx,Infant voc,TD,2.084000000000003,inf-inf,2084.000000000003
234,1,338.133,339.409,li rimettiamo dentro? (W),Caregiver voc,TD,0.25099999999997635,inf-cg,250.99999999997635
235,1,339.416,340.0,sì (CW),Infant voc,TD,0.007000000000005002,cg-inf,7.000000000005002
236,1,340.502,341.825,allora aprili tutti (DA),Caregiver voc,TD,0.5020000000000095,inf-cg,502.00000000000955
237,1,347.159,347.807,queto,Infant voc,TD,5.334000000000003,cg-inf,5334.000000000004
238,1,348.585,349.325,queto,Infant voc,TD,0.7779999999999632,inf-inf,777.9999999999632
239,1,350.8,351.307,allora(C),Caregiver voc,TD,1.4750000000000227,inf-cg,1475.0000000000227
240,1,351.313,352.367,prima quello rosso (RE),Caregiver voc,TD,0.005999999999971806,cg-cg,5.999999999971806
241,1,352.368,353.409,poi quello verde (RE),Caregiver voc,TD,0.0009999999999763531,cg-cg,0.9999999999763531
242,1,353.407,355.409,xxx,Infant voc,TD,-0.0020000000000095497,cg-inf,-2.0000000000095497
243,1,357.561,358.909,xxx,Infant voc,TD,2.151999999999987,inf-inf,2151.999999999987
244,1,359.195,360.145,no l’hai preso. (C RA),Caregiver voc,TD,0.28600000000000136,inf-cg,286.00000000000136
245,1,360.147,360.661,non c'è più (RE),Caregiver voc,TD,0.0020000000000095497,cg-cg,2.0000000000095497
246,1,360.661,361.087,era là ( - ),Caregiver voc,TD,0.0,cg-cg,0.0
247,1,361.087,361.804,ma è questo (RE),Caregiver voc,TD,0.0,cg-cg,0.0
248,1,362.264,363.414,quello che avevi appoggiato lì ( - ),Caregiver voc,TD,0.4600000000000364,cg-cg,460.0000000000364
249,1,364.8,370.568,xxx,Infant voc,TD,1.386000000000024,cg-inf,1386.000000000024
250,1,368.707,370.209,[mamma ride] (AL) ,Caregiver voc,TD,-1.86099999999999,inf-cg,-1860.99999999999
251,1,371.4,373.069,non c’entra niente veramente così.	(RE),Caregiver voc,TD,1.190999999999974,cg-cg,1190.999999999974
252,1,374.165,374.665,xxx,Infant voc,TD,1.0960000000000036,cg-inf,1096.0000000000036
253,1,374.943,375.543,verde (CW),Infant voc,TD,0.27799999999996317,inf-inf,277.99999999996317
254,1,376.348,380.411,xxx,Infant voc,TD,0.8050000000000068,inf-inf,805.0000000000068
255,1,380.898,381.932, là quello verde.(RE),Caregiver voc,TD,0.4870000000000232,inf-cg,487.0000000000232
256,1,383.015,383.509,ah,Infant voc,TD,1.08299999999997,cg-inf,1082.99999999997
257,1,384.502,385.005,ah,Infant voc,TD,0.992999999999995,inf-inf,992.999999999995
258,1,385.758,386.195,xxx,Infant voc,TD,0.7529999999999859,inf-inf,752.9999999999859
259,1,387.126,388.328,giallo adesso (RE),Caregiver voc,TD,0.9309999999999832,inf-cg,930.9999999999832
