sub,onset,offset,cat,tier,reli
1,104.037,104.807,xxx,Infant voc,original
1,104.074,104.812,xxx,Infant voc,reli
1,105.339,107.21,questa è una bambolina. (RE),Caregiver voc,original
1,105.387,107.133,questa è una bambolina. (RE),Caregiver voc,reli
1,108.328,109.03,questo cos’è? (QE),Caregiver voc,original
1,108.365,108.978,questo cos’è? (QE),Caregiver voc,reli
1,109.339,110.646,ohhh,Infant voc,original
1,109.443,110.598,ohhh.,Infant voc,reli
1,110.661,111.468,cos’è questo? (QE),Caregiver voc,original
1,110.708,111.082,cos’è questo? (QE),Caregiver voc,reli
1,111.468,112.866,xxx,Infant voc,original
1,111.474,112.766,xxx,Infant voc,reli
1,112.88,113.568,cos’è questo? ( - ),Caregiver voc,original
1,112.986,113.443,cos’è questo?,Caregiver voc,reli
1,113.568,113.965,un? ( - ),Caregiver voc,original
1,113.702,113.798,un?,Caregiver voc,reli
1,114.001,114.929,(ae)reo,Infant voc,original
1,114.259,114.837,(ae)reo.,Infant voc,reli
1,114.959,115.606,un aereo? (QE),Caregiver voc,original
1,115.018,115.455,un aereo? (QE),Caregiver voc,reli
1,115.8,116.196,sì (CW),Infant voc,original
1,115.896,116.121,sì. (CW),Infant voc,reli
1,116.335,118.608,come quelli che ti ha portato a vedere papà in aeroporto? (QE),Caregiver voc,original
1,116.371,118.483,come quelli che ti ha portato a vedere papà in aeroporto? (QE),Caregiver voc,reli
1,118.61,119.006,sì (CW),Infant voc,original
1,118.711,118.873,sì. (CW),Infant voc,reli
1,119.006,119.705,come facevano? (QE),Caregiver voc,original
1,119.144,119.39,come facevano? (QE),Caregiver voc,reli
1,119.886,120.866,[fa il verso dell’aereo]	(CWOP),Infant voc,original
1,119.955,120.886,[fa il verso dell’aereo] (CWOP),Infant voc,reli
1,120.601,121.997,[fa il verso dell’aereo]	(OP),Caregiver voc,original
1,121.005,121.968,[fa il verso dell’aereo] (OP),Caregiver voc,reli
1,122.002,123.024,sempre più in alto. (RE),Caregiver voc,original
1,122.004,122.862,sempre più in alto. (RE),Caregiver voc,reli
1,123.904,125.485,aveva tutte le luci però. (RE),Caregiver voc,original
1,124.026,125.27,aveva tutte le luci però. (RE),Caregiver voc,reli
1,125.41,126.13,vero? accese. (C RE),Caregiver voc,reli
1,125.489,125.764,vero? (C),Caregiver voc,original
1,125.768,126.404,accese (RE),Caregiver voc,original
1,127.966,128.411,sì (RE),Infant voc,original
1,128.124,128.253,sì. (CW),Infant voc,reli
1,130.3,130.929,pipi ,Infant voc,original
1,130.439,132.069,pipi. pipi. pipi.,Infant voc,reli
1,131.002,131.547,pipi,Infant voc,original
1,131.604,132.184,pipi,Infant voc,original
1,132.256,133.281,cubi (RE) cubi ( - ) cubi ( - ),Caregiver voc,original
1,132.299,133.094,cubi. cubi. cubi. (RE),Caregiver voc,reli
1,133.296,133.808,questo cos’è? (QE),Caregiver voc,original
1,133.307,133.76,questo cos’è? (QE),Caregiver voc,reli
1,134.335,135.524,xxx,Infant voc,original
1,134.502,135.436,xxx,Infant voc,reli
1,135.36,135.807,come fa? (QE),Caregiver voc,original
1,135.379,135.742,come fa? (QE),Caregiver voc,reli
1,136.036,137.047,oh oh oh,Infant voc,original
1,136.237,137.042,oh oh oh.,Infant voc,reli
1,137.072,139.203,non è una gallina questa qui veramente (RE),Caregiver voc,original
1,137.251,139.934,non è una gallina questa qui veramente. è un uccellino. (RE RE),Caregiver voc,reli
1,139.205,140.004,è un uccellino (RE),Caregiver voc,original
1,140.506,141.546,ecino ,Infant voc,original
1,140.614,141.536,ecino.,Infant voc,reli
1,141.463,142.401,mmm. come fa l’uccellino? (C QE),Caregiver voc,reli
1,141.56,141.686,mmm (C),Caregiver voc,original
1,141.687,142.61,come fa l’uccellino? (QE),Caregiver voc,original
1,142.686,143.887,cip cip cip (CWOP),Infant voc,original
1,142.889,143.802,cip cip cip. (CWOP),Infant voc,reli
1,143.891,144.811,cip cip cip (OP),Caregiver voc,original
1,144.015,144.703,cip cip cip. (OP),Caregiver voc,reli
1,145.625,146.306,questo cos’è? (QE),Caregiver voc,original
1,145.778,146.088,questo cos’è? (QE),Caregiver voc,reli
1,146.675,147.905,xxx,Infant voc,original
1,146.754,147.837,xxx,Infant voc,reli
1,147.841,149.008, e a chi telefoni tu? (QA),Caregiver voc,original
1,147.982,148.879,e a chi telefoni tu? (QA),Caregiver voc,reli
1,149.342,149.805,papà (CW),Infant voc,original
1,149.395,149.799,papà. (CW),Infant voc,reli
1,150.864,151.467,fammi sentire (DA),Caregiver voc,original
1,150.929,152.308,fammi sentire. cosa gli dici a papà? (DA QA),Caregiver voc,reli
1,151.467,152.507,cosa gli dici a papà?	(QA),Caregiver voc,original
1,153.044,153.603,ciao papà (QA),Caregiver voc,original
1,153.109,153.621,ciao papà. (AG),Caregiver voc,reli
1,153.606,155.07,sono venuto a prendere nonno Saverio. (SB),Caregiver voc,original
1,153.621,155.069,sono venuto a prendere nonno Saverio. (SB),Caregiver voc,reli
1,155.509,156.083,sì (CW),Infant voc,original
1,155.625,156.042,sì. (CW),Infant voc,reli
1,156.104,156.345,dai (AE),Caregiver voc,original
1,156.14,157.274,dai. raccontami del papà. (AE DA),Caregiver voc,reli
1,156.349,157.291,raccontami del papà (DA),Caregiver voc,original
1,157.543,158.106,xxx,Infant voc,original
1,157.68,158.153,xxx,Infant voc,reli
1,158.762,159.504,xxx,Infant voc,original
1,158.9,159.382,xxx,Infant voc,reli
1,160.443,161.249,come stai papà? (CW),Infant voc,original
1,160.496,164.328,come stai papà? come stai? (CW CW),Infant voc,reli
1,161.54,162.002,xxx,Infant voc,original
1,162.478,163.005,xxx,Infant voc,original
1,163.601,165.805,come stai papà?? (CW),Infant voc,original
1,165.261,165.649,xxx,Infant voc,reli
1,166.952,167.907,come stai? (CW),Infant voc,original
1,166.953,167.926,come stai? (CW),Infant voc,reli
1,167.911,169.901,xxx,Infant voc,original
1,168.057,168.563,xxx,Infant voc,reli
1,168.968,169.652,xxx,Infant voc,reli
1,169.977,170.563,come sta? (QE),Caregiver voc,original
1,170.183,170.517,come sta? (QE),Caregiver voc,reli
1,171.038,171.524,bene (CW),Infant voc,original
1,171.184,171.662,bene. (CW),Infant voc,reli
1,171.642,172.228,sta bene? (QE),Caregiver voc,original
1,171.865,172.281,sta bene? (QE),Caregiver voc,reli
1,172.231,172.73,meglio? ( - ),Caregiver voc,original
1,173.41,174.606,xxx,Infant voc,original
1,173.612,174.406,xxx,Infant voc,reli
1,174.811,175.746,papà papà (CW),Infant voc,original
1,174.866,175.717,papà papà. (CW),Infant voc,reli
1,175.686,177.169,ma come si mette giù il telefono (QA),Caregiver voc,original
1,175.716,184.17,ma come si mette giù il telefono. così? la mamma lo butta per terra? o lo mette via così? sennò dopo non suona più. se sono messi male. te l’ho insegnato tante volte. (QA C QM QM RE RM),Caregiver voc,reli
1,177.17,177.649,così? (C),Caregiver voc,original
1,178.262,179.61,la mamma lo butta per terra? (QM),Caregiver voc,original
1,179.761,180.61,o lo mette via così? (QM),Caregiver voc,original
1,180.783,182.106,sennò dopo non suona più (RE),Caregiver voc,original
1,182.163,182.986,se sono messi male ( - ),Caregiver voc,original
1,182.987,184.294, te l’ho insegnato tante volte (RM),Caregiver voc,original
1,184.482,184.807,sì (CW),Infant voc,original
1,184.55,184.649,sì. (CW),Infant voc,reli
1,184.887,186.203,xxx non lo metti male xxx. (I RA I),Caregiver voc,original
1,184.906,186.047,xxx non lo metti male xxx. (I RA I),Caregiver voc,reli
1,187.381,188.689,xxx,Infant voc,original
1,187.456,188.555,xxx,Infant voc,reli
1,189.208,189.647,allora. (C),Caregiver voc,reli
1,189.31,190.0,xxx ,Infant voc,original
1,189.504,190.005,allora (C),Caregiver voc,original
1,189.592,189.949,xxx,Infant voc,reli
1,192.098,193.575,ci vuole prima quello verde. spetta. (RE DA),Caregiver voc,reli
1,192.108,193.418,ci vuole prima quello verde (RE),Caregiver voc,original
1,193.421,193.882,spetta (DA),Caregiver voc,original
1,194.264,194.807,girati così (DA),Caregiver voc,original
1,194.328,195.646,girati così. che li vedi tutti. (DA),Caregiver voc,reli
1,194.771,195.302,xxx,Infant voc,original
1,194.808,195.686,che li vedi tutti ( - ),Caregiver voc,original
1,195.733,196.255,xxx,Caregiver voc,reli
1,195.739,196.202,xxx,Caregiver voc,original
1,196.586,197.005,xxx,Infant voc,original
1,196.725,196.899,xxx,Infant voc,reli
1,197.219,199.221,allora ci vuole prima quello verde (C RE),Caregiver voc,original
1,197.338,199.69,allora ci vuole prima quello verde. da metter giù. (C RE),Caregiver voc,reli
1,199.224,199.804,da metter giù. ( - ),Caregiver voc,original
1,200.9,201.809,eh il verde (CW),Infant voc,original
1,200.943,201.871,eh il verde. (CW),Infant voc,reli
1,202.109,202.814,dov’è il verde? (QE),Caregiver voc,original
1,202.188,202.558,dov’è il verde? (QE),Caregiver voc,reli
1,202.825,203.305,là (CW),Infant voc,original
1,202.963,203.368,là. (CW),Infant voc,reli
1,203.307,203.599,xxx,Infant voc,original
1,205.378,205.51,qua. (CW),Infant voc,reli
1,205.435,205.807,qua (CW),Infant voc,original
1,205.728,206.708,poi quello giallo (RE),Caregiver voc,original
1,205.774,206.612,poi quello giallo. (RE),Caregiver voc,reli
1,206.711,207.01,verde. (CW),Infant voc,reli
1,206.73,207.406,verde (CW),Infant voc,original
1,208.041,208.844,quello giallo ( - ),Caregiver voc,original
1,208.118,208.638,quello giallo.,Caregiver voc,reli
1,212.202,212.907,giallo dov’è? (QE),Caregiver voc,original
1,212.237,212.851,giallo dov’è? (QE),Caregiver voc,reli
1,213.564,213.809,qua (CW),Infant voc,original
1,213.625,213.799,qua. (CW),Infant voc,reli
1,215.062,216.004,e adesso quello blu (RE),Caregiver voc,original
1,215.142,215.949,e adesso quello blu. (RE),Caregiver voc,reli
1,217.94,219.008,blu ho detto io (RM),Caregiver voc,original
1,218.122,218.891,blu ho detto io. (RM),Caregiver voc,reli
1,219.764,220.808,è blu quello?	(QE),Caregiver voc,original
1,219.881,220.575,è blu quello? (QE),Caregiver voc,reli
1,221.404,221.929,no (CW),Caregiver voc,original
1,221.571,221.643,no. (CW),Caregiver voc,reli
1,222.188,222.907,dov’è quello blu? (QE),Caregiver voc,original
1,222.256,222.761,dov’è quello blu? (QE),Caregiver voc,reli
1,223.474,223.812,xxx,Infant voc,original
1,223.544,223.807,xxx,Infant voc,reli
1,224.363,225.327,guarda bene in giro. (DA),Caregiver voc,original
1,224.452,225.859,guarda bene in giro. dov’è quello blu? (DA QE),Caregiver voc,reli
1,225.33,225.955,dov’è quello blu? (QE),Caregiver voc,original
1,226.245,226.666,qua. (CW),Infant voc,reli
1,226.295,226.797,qua (CW),Infant voc,original
1,226.964,228.191,di qua blu. (RE),Caregiver voc,reli
1,226.975,228.263,di qua blu (RE),Caregiver voc,original
1,229.063,229.765,questo è rosso (RE),Caregiver voc,original
1,229.073,230.285,questo è rosso. il blu è qui. (RE RE),Caregiver voc,reli
1,229.766,230.404,il blu è qui.	(RE),Caregiver voc,original
1,235.005,236.045,xxx blu (CW),Infant voc,original
1,235.056,236.15,xxx blu. (CW),Infant voc,reli
1,236.26,237.002,è questo il blu,Caregiver voc,original
1,236.378,236.801,è questo il blu.,Caregiver voc,reli
1,237.14,238.404,è anche l’altro pezzo (RE),Caregiver voc,original
1,237.164,237.927,è anche l’altro pezzo. (RE),Caregiver voc,reli
1,239.478,240.606,si mette dentro quello blu.(RE),Caregiver voc,original
1,239.625,240.572,si mette dentro quello blu. (RE),Caregiver voc,reli
1,241.599,243.543,e poi quello rosso piccolino (RE),Caregiver voc,original
1,241.629,243.392,e poi quello rosso piccolino. (RE),Caregiver voc,reli
1,243.923,244.4,ah,Infant voc,original
1,243.927,244.054,ah.,Infant voc,reli
1,245.043,245.601,mmm (AN),Caregiver voc,original
1,246.676,249.28,adesso devi mettere sopra ancora quello rosso piccolino (DA),Caregiver voc,original
1,246.823,249.863,adesso devi mettere sopra ancora quello rosso piccolino. girato così. (DA),Caregiver voc,reli
1,249.282,249.908,girato così. ( - ),Caregiver voc,original
1,252.312,252.563,ah ,Infant voc,original
1,252.381,252.52,ah.,Infant voc,reli
1,253.296,253.803,ok (C),Caregiver voc,original
1,253.408,253.796,ok. (C),Caregiver voc,reli
1,255.164,256.12,xxx,Infant voc,reli
1,255.522,256.368,poi quello blu (RE),Caregiver voc,original
1,255.654,256.414,poi quello blu. (RE),Caregiver voc,reli
1,256.619,256.987,no,Infant voc,original
1,256.739,256.951,no.,Infant voc,reli
1,257.504,258.922,xxx,Infant voc,original
1,257.673,259.068,xxx,Infant voc,reli
1,258.466,259.692,continua vedi la botte (DA),Caregiver voc,original
1,258.603,259.605,continua vedi la botte.,Caregiver voc,reli
1,263.901,264.305,oh,Infant voc,original
1,263.917,264.085,oh.,Infant voc,reli
1,266.171,266.682,oh,Infant voc,original
1,266.275,266.539,oh.,Infant voc,reli
1,266.692,268.229,adesso metti dentro quello là. (DA),Caregiver voc,reli
1,266.864,268.405,adesso metti dentro quello là (DA),Caregiver voc,original
1,269.482,270.381,poi chiudi quello blu. (DA),Caregiver voc,original
1,269.543,271.538,poi chiudi quello blu. col coperchietto. così. (DA C),Caregiver voc,reli
1,270.417,271.328,col coperchietto ( - ),Caregiver voc,original
1,271.332,271.887,così (C),Caregiver voc,original
1,273.216,273.822,xxx,Infant voc,reli
1,273.487,273.719,poi.,Caregiver voc,reli
1,273.502,273.753,poi ,Caregiver voc,original
1,273.757,274.608,adesso quello giallo (RE),Caregiver voc,original
1,273.964,274.742,adesso quello giallo. (RE),Caregiver voc,reli
1,276.429,276.927,verde. (CW),Infant voc,reli
1,278.202,278.884,poi verde (RE),Caregiver voc,original
1,278.324,279.594,poi verde. sì verde. (RE C RE),Caregiver voc,reli
1,278.889,279.707,sì verde (C RE),Caregiver voc,original
1,283.701,284.303,giallo (CW),Infant voc,original
1,283.852,284.231,giallo. (CW),Infant voc,reli
1,284.517,285.005,e rosso (RE),Caregiver voc,original
1,284.705,285.154,e rosso. (RE),Caregiver voc,reli
1,288.28,288.865,ecco ,Caregiver voc,original
1,288.403,288.555,ecco.,Caregiver voc,reli
1,290.719,291.312,aprama ,Infant voc,original
1,290.779,291.55,aprama.,Infant voc,reli
1,292.116,292.767,apriamo?(W),Caregiver voc,original
1,292.245,292.804,apriamo? (W),Caregiver voc,reli
1,292.932,293.266,sì ,Infant voc,original
1,293.135,293.224,sì.,Infant voc,reli
1,293.855,294.112,tira (DA),Caregiver voc,original
1,294.066,294.165,tira. (DA),Caregiver voc,reli
1,295.294,295.728,no (CW),Infant voc,original
1,295.402,295.828,no. (CW),Infant voc,reli
1,295.857,296.803,no ce la fai?(QO),Caregiver voc,original
1,295.903,296.772,non ce la fai? (QO),Caregiver voc,reli
1,298.027,298.542,eh,Infant voc,original
1,298.145,298.632,eh.,Infant voc,reli
1,299.477,300.006,oh (CW),Caregiver voc,original
1,299.855,299.996,oh. (CW),Caregiver voc,reli
1,301.041,302.127,questo di che colore è? (QE),Caregiver voc,original
1,301.165,302.082,questo di che colore è? (QE),Caregiver voc,reli
1,303.041,303.542,bianco (CW),Infant voc,original
1,303.116,303.694,bianco. (CW),Infant voc,reli
1,303.891,304.601,bianco (RE),Caregiver voc,original
1,304.478,304.764,bianco. (RE),Caregiver voc,reli
1,305.517,306.367,questo? (QE),Caregiver voc,original
1,305.713,306.269,questo? (QE),Caregiver voc,reli
1,309.538,310.307,che colore è? ( - ),Caregiver voc,original
1,309.72,310.249,che colore è?,Caregiver voc,reli
1,310.307,310.883,verde (CW),Infant voc,original
1,310.539,310.847,verde. (CW),Infant voc,reli
1,310.993,311.744,verde (RE),Caregiver voc,original
1,311.086,311.595,verde. (RE),Caregiver voc,reli
1,311.748,312.604,metti in fila (DA),Caregiver voc,original
1,311.812,312.441,metti in fila. (DA),Caregiver voc,reli
1,313.646,314.389,questo? (QE),Caregiver voc,original
1,313.791,314.301,questo?,Caregiver voc,reli
1,314.595,315.199,che colore è?	( - ),Caregiver voc,original
1,314.623,315.165,che colore è? (QE),Caregiver voc,reli
1,315.973,316.66,giallo (CW),Infant voc,original
1,316.122,316.562,giallo. (CW),Infant voc,reli
1,316.998,317.884,giallo (RE),Caregiver voc,original
1,317.205,317.414,giallo. (RE),Caregiver voc,reli
1,319.171,320.531,questo di che colore è? (QE),Caregiver voc,original
1,319.358,320.4,questo di che colore è? (QE),Caregiver voc,reli
1,321.642,322.165,bu,Infant voc,original
1,321.724,322.004,bu.,Infant voc,reli
1,322.409,322.843,blu (RE),Caregiver voc,original
1,322.735,322.957,blu. (RE),Caregiver voc,reli
1,324.398,325.196,e questo? (QE),Caregiver voc,original
1,324.686,325.134,e questo? (QE),Caregiver voc,reli
1,325.725,326.649,rosso (CW),Infant voc,original
1,325.932,326.603,rosso. (CW),Infant voc,reli
1,326.675,327.805,e qui non ce n’è più. (RE),Caregiver voc,original
1,326.844,327.424,e qui non ce n’è più. (RE),Caregiver voc,reli
1,329.165,330.467,è il più piccolo questo. (RE),Caregiver voc,original
1,329.504,330.372,è il più piccolo questo. (RE),Caregiver voc,reli
1,331.804,332.325,pu,Infant voc,original
1,331.955,332.215,pu.,Infant voc,reli
1,333.295,333.798,ah,Infant voc,original
1,333.474,333.645,ah.,Infant voc,reli
1,335.882,337.882,xxx,Infant voc,original
1,336.047,337.282,xxx,Infant voc,reli
1,338.133,339.409,li rimettiamo dentro? (W),Caregiver voc,original
1,338.331,339.353,li rimettiamo dentro? (W),Caregiver voc,reli
1,339.416,340.0,sì (CW),Infant voc,original
1,339.625,339.732,sì. (CW),Infant voc,reli
1,340.502,341.825,allora aprili tutti (DA),Caregiver voc,original
1,340.622,341.807,allora aprili tutti. (DA),Caregiver voc,reli
1,347.159,347.807,queto,Infant voc,original
1,347.277,347.756,queto.,Infant voc,reli
1,348.585,349.325,queto,Infant voc,original
1,348.732,349.22,queto.,Infant voc,reli
1,350.8,351.307,allora(C),Caregiver voc,original
1,350.902,351.122,allora. (C),Caregiver voc,reli
1,351.313,352.367,prima quello rosso (RE),Caregiver voc,original
1,351.349,352.004,prima quello rosso. (RE),Caregiver voc,reli
1,352.368,353.409,poi quello verde (RE),Caregiver voc,original
1,352.458,353.302,poi quello verde. (RE),Caregiver voc,reli
1,353.341,355.195,xxx,Infant voc,reli
1,353.407,355.409,xxx,Infant voc,original
1,357.561,358.909,xxx,Infant voc,original
1,357.699,358.793,xxx,Infant voc,reli
1,359.195,360.145,no l’hai preso. (C RA),Caregiver voc,original
1,359.424,361.681,no l’hai preso. non c'è più. era là. ma è questo. (C RA RE RE),Caregiver voc,reli
1,360.147,360.661,non c'è più (RE),Caregiver voc,original
1,360.661,361.087,era là ( - ),Caregiver voc,original
1,361.087,361.804,ma è questo (RE),Caregiver voc,original
1,362.264,363.414,quello che avevi appoggiato lì ( - ),Caregiver voc,original
1,362.392,363.234,quello che avevi appoggiato lì.,Caregiver voc,reli
1,364.8,370.568,xxx,Infant voc,original
1,364.903,366.825,xxx,Infant voc,reli
1,367.195,367.559,xxx,Infant voc,reli
1,368.059,368.919,xxx,Infant voc,reli
1,368.707,370.209,[mamma ride] (AL) ,Caregiver voc,original
1,368.911,369.847,[ride] (AL),Caregiver voc,reli
1,369.644,370.398,xxx,Infant voc,reli
1,371.4,373.069,non c’entra niente veramente così.	(RE),Caregiver voc,original
1,371.601,372.798,non c’entra niente veramente così. (RE),Caregiver voc,reli
1,374.165,374.665,xxx,Infant voc,original
1,374.304,374.491,xxx,Infant voc,reli
1,374.943,375.543,verde (CW),Infant voc,original
1,375.159,375.55,verde. (CW),Infant voc,reli
1,376.348,380.411,xxx,Infant voc,original
1,376.685,378.379,xxx,Infant voc,reli
