sub,onset,offset,cat,tier
1,120.601,121.997,[fa il verso dell’aereo]	(OP),Caregiver voc
1,122.002,123.024,sempre più in alto. (RE),Caregiver voc
1,123.904,125.485,aveva tutte le luci però. (RE),Caregiver voc
1,125.489,125.764,vero? (C),Caregiver voc
1,125.768,126.404,accese (RE),Caregiver voc
1,127.966,128.411,sì (RE),Infant voc
1,130.3,130.929,pipi ,Infant voc
1,131.002,131.547,pipi,Infant voc
1,131.604,132.184,pipi,Infant voc
1,132.256,133.281,cubi (RE) cubi ( - ) cubi ( - ),Caregiver voc
1,133.296,133.808,questo cos’è? (QE),Caregiver voc
1,134.335,135.524,xxx,Infant voc
1,135.36,135.807,come fa? (QE),Caregiver voc
1,136.036,137.047,oh oh oh,Infant voc
1,137.072,139.203,non è una gallina questa qui veramente (RE),Caregiver voc
1,139.205,140.004,è un uccellino (RE),Caregiver voc
1,140.506,141.546,ecino ,Infant voc
1,141.56,141.686,mmm (C),Caregiver voc
1,141.687,142.61,come fa l’uccellino? (QE),Caregiver voc
1,142.686,143.887,cip cip cip (CWOP),Infant voc
1,143.891,144.811,cip cip cip (OP),Caregiver voc
1,145.625,146.306,questo cos’è? (QE),Caregiver voc
1,146.675,147.905,xxx,Infant voc
1,147.841,149.008, e a chi telefoni tu? (QA),Caregiver voc
1,149.342,149.805,papà (CW),Infant voc
1,150.864,151.467,fammi sentire (DA),Caregiver voc
1,151.467,152.507,cosa gli dici a papà?	(QA),Caregiver voc
1,153.044,153.603,ciao papà (QA),Caregiver voc
1,153.606,155.07,sono venuto a prendere nonno Saverio. (SB),Caregiver voc
1,155.509,156.083,sì (CW),Infant voc
1,156.104,156.345,dai (AE),Caregiver voc
1,156.349,157.291,raccontami del papà (DA),Caregiver voc
1,157.543,158.106,xxx,Infant voc
1,158.762,159.504,xxx,Infant voc
1,160.443,161.249,come stai papà? (CW),Infant voc
1,161.54,162.002,xxx,Infant voc
1,162.478,163.005,xxx,Infant voc
1,163.601,165.805,come stai papà?? (CW),Infant voc
1,166.952,167.907,come stai? (CW),Infant voc
1,167.911,169.901,xxx,Infant voc
1,169.977,170.563,come sta? (QE),Caregiver voc
1,171.038,171.524,bene (CW),Infant voc
1,171.642,172.228,sta bene? (QE),Caregiver voc
1,172.231,172.73,meglio? ( - ),Caregiver voc
1,173.41,174.606,xxx,Infant voc
1,174.811,175.746,papà papà (CW),Infant voc
1,175.686,177.169,ma come si mette giù il telefono (QA),Caregiver voc
1,177.17,177.649,così? (C),Caregiver voc
1,178.262,179.61,la mamma lo butta per terra? (QM),Caregiver voc
1,179.761,180.61,o lo mette via così? (QM),Caregiver voc
1,180.783,182.106,sennò dopo non suona più (RE),Caregiver voc
1,182.163,182.986,se sono messi male ( - ),Caregiver voc
1,182.987,184.294, te l’ho insegnato tante volte (RM),Caregiver voc
1,184.482,184.807,sì (CW),Infant voc
1,184.887,186.203,xxx non lo metti male xxx. (I RA I),Caregiver voc
1,187.381,188.689,xxx,Infant voc
1,189.31,190.0,xxx ,Infant voc
1,189.504,190.005,allora (C),Caregiver voc
1,192.108,193.418,ci vuole prima quello verde (RE),Caregiver voc
1,193.421,193.882,spetta (DA),Caregiver voc
1,194.264,194.807,girati così (DA),Caregiver voc
1,194.771,195.302,xxx,Infant voc
1,194.808,195.686,che li vedi tutti ( - ),Caregiver voc
1,195.739,196.202,xxx,Caregiver voc
1,196.586,197.005,xxx,Infant voc
1,197.219,199.221,allora ci vuole prima quello verde (C RE),Caregiver voc
1,199.224,199.804,da metter giù. ( - ),Caregiver voc
1,200.9,201.809,eh il verde (CW),Infant voc
1,202.109,202.814,dov’è il verde? (QE),Caregiver voc
1,202.825,203.305,là (CW),Infant voc
1,203.307,203.599,xxx,Infant voc
1,205.435,205.807,qua (CW),Infant voc
1,205.728,206.708,poi quello giallo (RE),Caregiver voc
1,206.73,207.406,verde (CW),Infant voc
1,208.041,208.844,quello giallo ( - ),Caregiver voc
1,212.202,212.907,giallo dov’è? (QE),Caregiver voc
1,213.564,213.809,qua (CW),Infant voc
1,215.062,216.004,e adesso quello blu (RE),Caregiver voc
1,217.94,219.008,blu ho detto io (RM),Caregiver voc
1,219.764,220.808,è blu quello?	(QE),Caregiver voc
1,221.404,221.929,no (CW),Caregiver voc
1,222.188,222.907,dov’è quello blu? (QE),Caregiver voc
1,223.474,223.812,xxx,Infant voc
1,224.363,225.327,guarda bene in giro. (DA),Caregiver voc
1,225.33,225.955,dov’è quello blu? (QE),Caregiver voc
1,226.295,226.797,qua (CW),Infant voc
1,226.975,228.263,di qua blu (RE),Caregiver voc
1,229.063,229.765,questo è rosso (RE),Caregiver voc
1,229.766,230.404,il blu è qui.	(RE),Caregiver voc
1,235.005,236.045,xxx blu (CW),Infant voc
1,236.26,237.002,è questo il blu,Caregiver voc
1,237.14,238.404,è anche l’altro pezzo (RE),Caregiver voc
1,239.478,240.606,si mette dentro quello blu.(RE),Caregiver voc
1,241.599,243.543,e poi quello rosso piccolino (RE),Caregiver voc
1,243.923,244.4,ah,Infant voc
1,245.043,245.601,mmm (AN),Caregiver voc
1,246.676,249.28,adesso devi mettere sopra ancora quello rosso piccolino (DA),Caregiver voc
1,249.282,249.908,girato così. ( - ),Caregiver voc
1,252.312,252.563,ah ,Infant voc
1,253.296,253.803,ok (C),Caregiver voc
1,255.522,256.368,poi quello blu (RE),Caregiver voc
1,256.619,256.987,no,Infant voc
1,257.504,258.922,xxx,Infant voc
1,258.466,259.692,continua vedi la botte (DA),Caregiver voc
1,263.901,264.305,oh,Infant voc
1,266.171,266.682,oh,Infant voc
1,266.864,268.405,adesso metti dentro quello là (DA),Caregiver voc
1,269.482,270.381,poi chiudi quello blu. (DA),Caregiver voc
1,270.417,271.328,col coperchietto ( - ),Caregiver voc
1,271.332,271.887,così (C),Caregiver voc
1,273.502,273.753,poi ,Caregiver voc
1,273.757,274.608,adesso quello giallo (RE),Caregiver voc
1,278.202,278.884,poi verde (RE),Caregiver voc
1,278.889,279.707,sì verde (C RE),Caregiver voc
1,283.701,284.303,giallo (CW),Infant voc
1,284.517,285.005,e rosso (RE),Caregiver voc
1,288.28,288.865,ecco ,Caregiver voc
1,290.719,291.312,aprama ,Infant voc
1,292.116,292.767,apriamo?(W),Caregiver voc
1,292.932,293.266,sì ,Infant voc
1,293.855,294.112,tira (DA),Caregiver voc
1,295.294,295.728,no (CW),Infant voc
1,295.857,296.803,no ce la fai?(QO),Caregiver voc
1,298.027,298.542,eh,Infant voc
1,299.477,300.006,oh (CW),Caregiver voc
1,301.041,302.127,questo di che colore è? (QE),Caregiver voc
1,303.041,303.542,bianco (CW),Infant voc
1,303.891,304.601,bianco (RE),Caregiver voc
1,305.517,306.367,questo? (QE),Caregiver voc
1,309.538,310.307,che colore è? ( - ),Caregiver voc
1,310.307,310.883,verde (CW),Infant voc
1,310.993,311.744,verde (RE),Caregiver voc
1,311.748,312.604,metti in fila (DA),Caregiver voc
1,313.646,314.389,questo? (QE),Caregiver voc
1,314.595,315.199,che colore è?	( - ),Caregiver voc
1,315.973,316.66,giallo (CW),Infant voc
1,316.998,317.884,giallo (RE),Caregiver voc
1,319.171,320.531,questo di che colore è? (QE),Caregiver voc
1,321.642,322.165,bu,Infant voc
1,322.409,322.843,blu (RE),Caregiver voc
1,324.398,325.196,e questo? (QE),Caregiver voc
1,325.725,326.649,rosso (CW),Infant voc
1,326.675,327.805,e qui non ce n’è più. (RE),Caregiver voc
1,329.165,330.467,è il più piccolo questo. (RE),Caregiver voc
1,331.804,332.325,pu,Infant voc
1,333.295,333.798,ah,Infant voc
1,335.882,337.882,xxx,Infant voc
1,338.133,339.409,li rimettiamo dentro? (W),Caregiver voc
1,339.416,340.0,sì (CW),Infant voc
1,340.502,341.825,allora aprili tutti (DA),Caregiver voc
1,347.159,347.807,queto,Infant voc
1,348.585,349.325,queto,Infant voc
1,350.8,351.307,allora(C),Caregiver voc
1,351.313,352.367,prima quello rosso (RE),Caregiver voc
1,352.368,353.409,poi quello verde (RE),Caregiver voc
1,353.407,355.409,xxx,Infant voc
1,357.561,358.909,xxx,Infant voc
1,359.195,360.145,no l’hai preso. (C RA),Caregiver voc
1,360.147,360.661,non c'è più (RE),Caregiver voc
1,360.661,361.087,era là ( - ),Caregiver voc
1,361.087,361.804,ma è questo (RE),Caregiver voc
1,362.264,363.414,quello che avevi appoggiato lì ( - ),Caregiver voc
1,364.8,370.568,xxx,Infant voc
1,368.707,370.209,[mamma ride] (AL) ,Caregiver voc
1,371.4,373.069,non c’entra niente veramente così.	(RE),Caregiver voc
1,374.165,374.665,xxx,Infant voc
1,374.943,375.543,verde (CW),Infant voc
1,376.348,380.411,xxx,Infant voc
1,380.898,381.932, là quello verde.(RE),Caregiver voc
1,383.015,383.509,ah,Infant voc
1,384.502,385.005,ah,Infant voc
1,385.758,386.195,xxx,Infant voc
1,387.126,388.328,giallo adesso (RE),Caregiver voc
1,389.296,390.929,eto plaio ,Infant voc
1,392.479,392.966,poi blu (RE),Caregiver voc
1,393.502,394.31,non ci va. (RE),Caregiver voc
1,394.644,395.33,eh blu (CW),Infant voc
1,397.019,397.339,xxx,Infant voc
1,398.89,399.307,oh,Infant voc
1,399.771,400.411,lo apriamo? (W),Caregiver voc
1,400.902,401.33,sì (CW),Infant voc
1,405.162,405.744,ecco,Infant voc
1,406.328,406.785,poi? (QE),Caregiver voc
1,408.5,409.55,xxx,Infant voc
1,409.278,410.405,quello rosso piccolo (RE),Caregiver voc
1,412.524,413.803,oi rosso (CW),Infant voc
1,417.184,417.486,eh no (C),Caregiver voc
1,417.489,418.299, così il contrario (RE),Caregiver voc
1,418.299,419.086,adesso li chiudi (RA),Caregiver voc
1,419.087,419.409,vero? (C),Caregiver voc
1,420.771,421.244,così (C),Caregiver voc
1,422.015,423.209,poi devi mettere quello blu (DA),Caregiver voc
1,423.212,423.769,guarda così (DA),Caregiver voc
1,423.775,424.926,xxx,Caregiver voc
1,425.596,425.995,ecco,Infant voc
1,427.156,427.726,giallo (RE),Caregiver voc
1,428.944,429.388,queto,Infant voc
1,430.196,430.662,verde (RE),Caregiver voc
1,435.192,435.658,xxx,Infant voc
1,436.259,436.701,queto ,Infant voc
1,436.876,437.284,xxx,Infant voc
1,436.905,437.402,poi? (QE),Caregiver voc
1,438.245,439.407,xxx,Infant voc
1,439.038,440.206,guarda là quell’altro (DA),Caregiver voc
1,440.597,441.282,mama,Infant voc
1,442.64,444.266,xxx mamma,Infant voc
1,445.561,446.646,oh tira (C DA),Caregiver voc
1,469.807,470.409,xxx,Infant voc
1,471.271,471.725,ia,Infant voc
1,472.386,473.038,xxx,Infant voc
1,474.812,475.357,gaia,Infant voc
1,475.608,476.173,bima,Infant voc
1,476.969,477.406,ah,Infant voc
1,478.008,478.629,boma,Infant voc
1,478.772,479.746,xxx,Infant voc
1,480.362,480.83,ah,Infant voc
1,481.362,482.461,petite,Infant voc
1,482.948,483.37,ah,Infant voc
1,483.782,484.828,petite,Infant voc
1,485.131,485.456,ah,Infant voc
1,486.087,486.746,xxx,Infant voc
1,488.037,488.726,mama,Infant voc
1,489.619,490.201,xxx,Infant voc
1,491.334,491.904,aia,Infant voc
1,492.804,493.267,tite,Infant voc
1,493.554,494.407,aia,Infant voc
1,494.578,495.086,tite,Infant voc
1,495.094,495.619,mama,Infant voc
1,495.977,496.423,tite,Infant voc
1,496.75,497.13,mama,Infant voc
1,497.427,497.846,tite,Infant voc
1,498.149,498.683,mama,Infant voc
1,498.897,500.671,e questo trenino qua come farà? (QE),Caregiver voc
1,500.704,502.302, come funzionerà questo trenino? ( - ),Caregiver voc
1,501.564,502.208,tu tu,Infant voc
1,502.701,503.589,tu tu,Caregiver voc
1,503.617,504.227,e poi? (QE),Caregiver voc
1,505.198,507.07,[CHI fa il rumore del treno] (CWOP),Infant voc
1,505.4,506.209,dove va? (QE),Caregiver voc
1,506.657,507.348,ma dove va? ( - ),Caregiver voc
1,508.077,508.704,xxx,Infant voc
1,508.705,509.409,gnana,Infant voc
1,509.761,510.55,dalla nonna? (QE),Caregiver voc
1,510.805,511.407,sì (CW),Infant voc
1,511.538,514.292,ah è il treno che passa a casa della nonna questo?	 (C QE),Caregiver voc
1,514.552,514.995,sì (CW),Infant voc
1,516.97,517.966,xxx,Infant voc
1,518.14,520.49,vieni Olga che ci montiamo su la bambolina (DA W),Caregiver voc
1,520.905,522.565,dammi la bambolina che la facciamo stare su (DA W),Caregiver voc
1,522.565,522.8,dai (C),Caregiver voc
1,523.205,523.725,no,Infant voc
1,524.022,525.072,la portiamo via (W),Caregiver voc
1,525.32,526.384,la portiamo a casa della nonna ( - ),Caregiver voc
1,526.571,527.6,nana,Infant voc
1,528.32,529.328,xxx,Caregiver voc
1,529.443,530.072,vieni qua (DA),Caregiver voc
1,530.346,531.767,vediamo se c’è un treno su questa. (W),Caregiver voc
1,531.861,532.883,su questo libro ,Caregiver voc
1,533.221,534.126,c’è il trattore (RE),Caregiver voc
1,534.459,535.202,veramente (C),Caregiver voc
1,534.588,535.603,xxx,Infant voc
1,535.923,536.61,trattore (RE),Caregiver voc
1,537.201,537.805,e poi? (QE),Caregiver voc
1,538.17,540.406,xxx,Infant voc
1,540.281,541.35,spetta che ti soffio il naso.(DA RM),Caregiver voc
1,541.35,541.807,vieni qua (DA),Caregiver voc
1,541.586,542.203,xxx,Infant voc
1,542.601,543.41,taia,Infant voc
1,543.747,544.672,eccolo qua (C),Caregiver voc
1,545.765,546.407,xxx,Infant voc
1,547.165,547.675,xxx,Infant voc
1,547.728,548.343,vieni giù (DA),Caregiver voc
1,548.546,549.607,namma,Infant voc
1,549.622,551.052,xxx,Infant voc
1,551.187,552.202,xxx,Infant voc
1,552.106,553.611,spetta che ti prendo un fazzoletto. (DA RM),Caregiver voc
1,558.151,558.728,eta,Infant voc
1,559.692,560.202,mama,Infant voc
1,560.592,561.044,eh,Infant voc
1,561.044,561.71,eh,Infant voc
1,562.536,563.109,xxx,Infant voc
1,563.449,564.303,xxx,Infant voc
1,564.461,565.001,xxx,Infant voc
1,565.242,565.711,mama,Infant voc
1,566.088,566.604,aia,Infant voc
1,566.545,567.21,un due tre (RE),Caregiver voc
1,568.08,568.997,facciamo un gioco (W),Caregiver voc
1,570.119,572.603,vediamo se tu ti ricordi cosa nasconde la mamma (W RO RM),Caregiver voc
1,572.553,573.066,xxx,Infant voc
1,572.624,573.109,guarda (DA),Caregiver voc
1,573.276,573.739,attenta (DA),Caregiver voc
1,573.74,574.843,che io nascondo una cosa (RM),Caregiver voc
1,573.836,574.26,xxx,Infant voc
1,574.844,575.599,stai attenta eh? (DA C),Caregiver voc
1,576.703,577.454,chiudi gli occhi (DA),Caregiver voc
1,578.782,579.714,chiudi gli occhi ( - ),Caregiver voc
1,581.858,582.312,eh (C),Caregiver voc
1,582.521,583.807,cosa ho nascosto qua sotto? (QM),Caregiver voc
1,585.158,585.937,cosa c’è qui? (QE),Caregiver voc
1,586.396,587.127,mama,Infant voc
1,587.208,588.209,cosa c’è qui sotto?,Caregiver voc
1,588.767,589.905,xxx,Infant voc
1,589.99,590.661,il? (QE),Caregiver voc
1,591.052,591.886,teno,Infant voc
1,592.004,593.084,il treno (RE),Caregiver voc
1,593.087,593.923,brava (AE),Caregiver voc
1,595.278,596.305,adesso guarda bene (DA),Caregiver voc
1,596.307,597.411,chiudi gli occhi (DA),Caregiver voc
1,597.424,598.209,girati di lato.	(DA),Caregiver voc
1,598.212,599.048,non devi vedere (DA),Caregiver voc
1,599.446,600.395,ferma lì (DA),Caregiver voc
10,6.366,7.271,è mio.	(CW),Infant voc
10,7.414,8.206,è tuo cosa?	(QE),Caregiver voc
10,8.686,11.479,na peso na peso,Infant voc
10,11.569,12.614,dov’è il piede qua? (QO),Caregiver voc
10,12.964,14.122,allora il libretto? (C QE),Caregiver voc
10,14.74,15.401,sì (CW),Infant voc
10,15.656,18.691,xx il libret(to) chi è questa?	(I RE QE),Caregiver voc
10,18.732,19.604,pappa (CW),Infant voc
10,19.744,21.204,e questi cosa sono? (QE),Caregiver voc
10,21.341,22.005,a tati@c.,Infant voc
10,22.081,23.887,no i tati@c dai. (AD),Caregiver voc
10,23.89,24.996,questo chi è questo? (QE),Caregiver voc
10,25.419,26.61,mio oh (CW),Infant voc
10,26.484,31.201, ma tuo vuoi leggere tu ma guarda qua dietro chi c’è guarda qua dietro chi c’è chi è? (RE RA DA QE) ,Caregiver voc
10,31.953,33.11,piopio@o. (CWOP),Infant voc
10,33.141,33.984,piopio@o. (RE),Caregiver voc
10,34.549,36.312,ma che piopio@o cavallino. (RE RE),Caregiver voc
10,38.52,41.006,uh il trenino come fa il trenino? (C QE),Caregiver voc
10,41.051,41.6,ciuf@o.	(CWOP),Infant voc
10,41.648,42.511,ciufciuf@o. (OP),Caregiver voc
10,43.143,44.43,e questa è la casetta? (QE),Caregiver voc
10,44.656,45.213,mm,Infant voc
10,45.288,46.291, e questo chi è? (QE),Caregiver voc
10,46.365,47.271,bau@o.	(CWOP),Infant voc
10,47.327,49.284,il bau@o e questo? (RE QE),Caregiver voc
10,50.788,51.916,peppe@c.,Infant voc
10,51.854,52.865,le scarpette. (RE),Caregiver voc
10,52.875,53.29,oh,Infant voc
10,53.67,54.668,e questo?	(QE),Caregiver voc
10,54.708,55.288,xxx,Infant voc
10,55.327,55.936,cos’è questo? (QE),Caregiver voc
10,56.621,57.395,xxx,Infant voc
10,57.576,60.008,brumbrum@o l’automobile. (OP RE),Caregiver voc
10,61.89,62.612,e questo? (QE),Caregiver voc
10,64.001,64.892,piopio@o (CWOP),Infant voc
10,64.911,65.668,piopio@o. (RE),Caregiver voc
10,66.808,68.269,telefoniamo alla nonna? (W),Caregiver voc
10,68.616,69.206,no(n)na (CW),Infant voc
10,69.146,70.813,pronto nonna? (AG),Caregiver voc
10,70.824,71.796,pronto?,Caregiver voc
10,73.704,74.788,ti passo Mariella. (RM NC),Caregiver voc
10,76.81,77.266,no (CW),Infant voc
10,77.279,77.817,no? (C),Caregiver voc
10,77.82,79.418,non c’è la nonna al telefono? (QE),Caregiver voc
10,79.72,80.607,pronto? (AG),Caregiver voc
10,81.885,83.078,allora mettiamo giù. (CW),Caregiver voc
10,83.72,85.6,mi dai un po’ di tè per piacere? (QA),Caregiver voc
10,86.208,86.744,mm,Infant voc
10,87.261,89.757,me lo versi per piacere un po’ di tè qua dentro? (QA),Caregiver voc
10,90.264,90.723,mm,Infant voc
10,90.81,91.232,tò. (DA),Caregiver voc
10,91.965,92.508,mm,Infant voc
10,92.443,94.006, mi butti un po’ di tè qua dentro? (QA),Caregiver voc
10,94.109,94.523,mm,Infant voc
10,94.907,95.399,no? (C),Caregiver voc
10,99.15,100.53,non mi dai un po’di tè? (QA),Caregiver voc
10,103.732,104.723,xxx,Infant voc
10,105.878,106.37,no? (C),Caregiver voc
10,109.151,109.808,xxx,Infant voc
10,109.822,110.621,il tè dai. (RE C),Caregiver voc
10,115.385,116.005,ancora (CW),Infant voc
10,116.015,116.728,ancora? (QE),Caregiver voc
10,118.819,120.764,anche Mariella vuole un po’ di tè?	(NC QA),Caregiver voc
10,122.346,123.194,te lo metto? (QM),Caregiver voc
10,123.708,125.267,vieni qua per piacere? (QA),Caregiver voc
10,126.865,128.008,glugluglu@o. (OP),Caregiver voc
10,128.721,130.175,qua bevi uuhh@o. (DA OP),Caregiver voc
10,133.399,134.005,buono? (QO),Caregiver voc
10,134.406,134.8,sì (CW),Infant voc
10,134.786,135.604,vieni qua. (DA),Caregiver voc
10,137.962,140.303,adesso ne prepariamo per il papà va bene? (W C),Caregiver voc
10,140.215,140.657,sì (CW),Infant voc
10,141.552,142.213,a papà (CW),Infant voc
10,141.971,142.602,papà (RE),Caregiver voc
10,143.467,145.808,blobloblo@o (OP),Caregiver voc
10,145.819,147.61, adesso mettiamo lo zucchero? (W),Caregiver voc
10,148.662,149.604,mettiamo lo zucchero?,Caregiver voc
10,149.948,150.394,mm,Infant voc
10,150.694,151.814,quanti cucchiaini? (QE),Caregiver voc
10,152.254,152.807,tanto (CW),Infant voc
10,152.885,153.527,tanto? (QE),Caregiver voc
10,153.907,154.382,sì (CW),Infant voc
10,154.293,157.404,uno due (RE),Caregiver voc
10,160.122,161.206,quant’è questo? (QE),Caregiver voc
10,161.882,162.409,mm,Infant voc
10,162.383,165.747,tre quattro bastano quattro? (RE QE),Caregiver voc
10,166.501,167.203,mm,Infant voc
10,166.885,167.921,mescoliamo?	(W),Caregiver voc
10,170.174,171.324,ah cos’hai trovato? (C QA),Caregiver voc
10,171.325,172.201,un altro gioco? (QE),Caregiver voc
10,172.617,173.114,mm,Infant voc
10,173.402,174.503,me lo fai vedere? (QA),Caregiver voc
10,174.761,176.51,vieni qua me lo fai vedere?	(DA QA),Caregiver voc
10,176.764,179.008,portalo qua dai che lo guardiamo assieme su. (DA C W C),Caregiver voc
10,179.283,180.146,mm,Infant voc
10,180.139,183.283,vieni qua ma no lì vieni qua uh. (DA AD),Caregiver voc
10,184.602,189.397,uh uh vieni qua che me lo fai vedere tutto. (C DA) ,Caregiver voc
10,191.143,192.129,dai aprilo (DA),Caregiver voc
10,194.766,197.204,oh che duro che è he he he (C RE C),Caregiver voc
10,197.805,198.409,la,Infant voc
10,198.573,199.039,la (AM),Caregiver voc
10,202.443,202.897,ah (C),Caregiver voc
10,203.535,203.921,la,Infant voc
10,203.926,204.327,la (AM),Caregiver voc
10,206.723,209.199,come la bomboletta della mamma più. (RE),Caregiver voc
10,211.455,212.808,eh chiudi adesso su (C DA C),Caregiver voc
10,217.86,218.404,e poi? (O),Caregiver voc
10,219.459,225.385,prendi quello blu dai no quello blu quello ci va sopra. (DA C RE RE) ,Caregiver voc
10,228.583,229.088,là (RE),Caregiver voc
10,230.459,231.199,giallo (CW),Infant voc
10,231.199,232.812,giallo dov’è l’altro giallo? (QE),Caregiver voc
10,233.542,235.686,qua metti chiudi. (DA DA),Caregiver voc
10,240.022,243.827,brava quasi e quello verde? (AE QE) ,Caregiver voc
10,244.974,246.406,xxx,Caregiver voc
10,246.924,248.52,xxx,Caregiver voc
10,249.964,250.539,haha,Infant voc
10,250.539,251.196,heehee (C),Caregiver voc
10,251.988,253.203,ecco (C),Caregiver voc
10,253.237,253.909,se,Infant voc
10,254.172,255.225,cosa fa la mamma adesso? (QM),Caregiver voc
10,255.228,257.805,guarda prendi quello verde te (DA DA),Caregiver voc
10,264.675,265.889,no no no (CW),Infant voc
10,267.389,269.549,no no no oh (C),Caregiver voc
10,272.998,273.805,no no no (CW),Infant voc
10,273.808,274.604, no no no (C),Caregiver voc
10,274.626,275.208,xxx,Infant voc
10,276.803,277.186,no (CW),Infant voc
10,277.402,277.805,no (C),Caregiver voc
10,280.331,281.001,no no no (CW),Infant voc
10,281.005,284.409,no no no alla Mariella? (C NC) ,Caregiver voc
10,284.412,284.803,no no (CW),Infant voc
10,284.745,287.336,no no no mettiamo via allora? (C W) ,Caregiver voc
10,287.339,288.428,dai metti via su (DA C),Caregiver voc
10,293.568,294.003,no? (C),Infant voc
10,295.865,296.418,no (CW),Caregiver voc
10,297.646,298.409,cucù?	(AR),Caregiver voc
10,299.312,299.721,xxx,Infant voc
10,300.119,300.506,xxx,Infant voc
